stress_level,instance,scenario_seed,strategy,budget,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,is_feasible,gap_to_reference,route_disruption
Tight,4,8304,WarmStart,2500,200,2280,2480,0.2366765,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,4,8304,Repair,500,0,38,38,0.003934,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,4,8304,Repair,1000,0,38,38,0.0037536,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,4,8304,Repair,1500,0,38,38,0.0036189,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,4,8304,Repair,2500,0,38,38,0.0036799,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,5,8305,Restart,500,0,480,480,0.0511986,5204.13721491929,5204.13721491929,0,1,0.238702274845176,0.352941176470588
Tight,5,8305,Restart,1000,0,990,990,0.1043526,6349.67348783527,6349.67348783527,0,1,0.511365797841984,0.529411764705882
Tight,5,8305,Restart,1500,0,1500,1500,0.1461484,5367.33748782026,5367.33748782026,0,1,0.277547628253277,0.705882352941176
Tight,5,8305,Restart,2500,0,2490,2490,0.2561541,4620.76210491144,4620.76210491144,0,1,0.0998458139157572,0.470588235294118
Tight,5,8305,WarmStart,500,200,300,500,0.0537043,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,5,8305,WarmStart,1000,200,780,980,0.0967828,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,5,8305,WarmStart,1500,200,1290,1490,0.1565076,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,5,8305,WarmStart,2500,200,2280,2480,0.2350517,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,5,8305,Repair,500,0,38,38,0.0029541,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,5,8305,Repair,1000,0,38,38,0.0030977,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,5,8305,Repair,1500,0,38,38,0.003919,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
Tight,5,8305,Repair,2500,0,38,38,0.0034944,3492.17238466647,3492.17238466647,0,1,-0.168784046539604,0
