instance,nCustomers,method,seed,budget_factor,budget_fe,actual_fe,total_late,is_feasible,first_feasible_fe,tour_cost,gap_to_bks,mode
rc_201.3,31,LateOnly,940208,100,3100,3100,290.482,0,NaN,890.1779,NaN,late
rc_201.3,31,Propagation,940208,100,3100,3100,4.6194999999999,0,NaN,873.7778,NaN,propagation
rc_201.3,31,StateSwitch,940208,100,3100,3100,4.6194999999999,0,NaN,873.7778,NaN,propagation
rc_201.3,31,PSO,940209,25,775,775,4247.5295,0,NaN,1146.9708,NaN,none
rc_201.3,31,Global,940209,25,775,775,2749.7343,0,NaN,1003.6253,NaN,global
rc_201.3,31,LateOnly,940209,25,775,775,1332.7806,0,NaN,1046.1885,NaN,late
rc_201.3,31,Propagation,940209,25,775,775,1404.3348,0,NaN,1057.4084,NaN,propagation
rc_201.3,31,StateSwitch,940209,25,775,775,1404.3348,0,NaN,1057.4084,NaN,propagation
rc_201.3,31,PSO,940209,50,1550,1550,3171.6278,0,NaN,997.0472,NaN,none
rc_201.3,31,Global,940209,50,1550,1550,1205.4451,0,NaN,963.7286,NaN,global
rc_201.3,31,LateOnly,940209,50,1550,1550,2.55719999999997,0,NaN,818.4796,NaN,late
rc_201.3,31,Propagation,940209,50,1550,1550,264.937,0,NaN,888.8484,NaN,propagation
rc_201.3,31,StateSwitch,940209,50,1550,1550,264.937,0,NaN,888.8484,NaN,propagation
rc_201.3,31,PSO,940209,100,3100,3100,3060.2389,0,NaN,990.619,NaN,none
rc_201.3,31,Global,940209,100,3100,3100,947.5936,0,NaN,858.1331,NaN,global
rc_201.3,31,LateOnly,940209,100,3100,3100,0,1,2266,820.9323,0.0383530438522153,late
rc_201.3,31,Propagation,940209,100,3100,3100,3.4049,0,NaN,885.0708,NaN,propagation
rc_201.3,31,StateSwitch,940209,100,3100,3100,3.4049,0,NaN,885.0708,NaN,propagation
rc_201.3,31,PSO,940210,25,775,775,6205.9587,0,NaN,995.8274,NaN,none
rc_201.3,31,Global,940210,25,775,775,3445.6824,0,NaN,1013.3037,NaN,global
