level,instance,scenario_seed,algorithm_seed,event_index,event_time,event_type,event_size,strategy,budget,oracle_status,reference_cost,reused_legs,computed_legs,warm_start_fe,routing_fe,total_fe,response_time,fitness,distance,total_late,obstacle_violation,is_feasible,gap_to_reference,route_disruption
Severe,2,3002,8910,1,90,cancel,4,WarmStart,1500,FEASIBLE,3077.67379291544,196,44,45,1440,1485,0.0966197,4054.95614779555,4054.95614779555,0,0,1,0.317539291243192,0.214285714285714
Severe,2,3002,9910,1,90,cancel,4,WarmStart,2500,FEASIBLE,3077.67379291544,196,44,40,2460,2500,0.1616326,3869.2982590184,3869.2982590184,0,0,1,0.25721519542624,0.214285714285714
Severe,2,3002,7910,1,90,cancel,4,Repair,500,FEASIBLE,3077.67379291544,196,44,0,1,1,0.0001198,5492.03162509829,4373.86952001996,11.1816210507833,0,0,0.784474897157886,0
Severe,2,3002,8410,1,90,cancel,4,Repair,1000,FEASIBLE,3077.67379291544,196,44,0,1,1,8.17e-05,5492.03162509829,4373.86952001996,11.1816210507833,0,0,0.784474897157886,0
Severe,2,3002,8910,1,90,cancel,4,Repair,1500,FEASIBLE,3077.67379291544,196,44,0,1,1,7.66e-05,5492.03162509829,4373.86952001996,11.1816210507833,0,0,0.784474897157886,0
Severe,2,3002,9910,1,90,cancel,4,Repair,2500,FEASIBLE,3077.67379291544,196,44,0,1,1,7.58e-05,5492.03162509829,4373.86952001996,11.1816210507833,0,0,0.784474897157886,0
Severe,2,3002,7920,2,150,add,4,Restart,500,UNKNOWN,,196,184,0,480,480,0.0431709,69843.6703090912,5922.87069716691,639.207996119243,0,0,NaN,0.642857142857143
Severe,2,3002,8420,2,150,add,4,Restart,1000,UNKNOWN,,196,184,0,990,990,0.0818847,56758.8728298816,5376.71858477806,513.821542451035,0,0,NaN,0.714285714285714
Severe,2,3002,8920,2,150,add,4,Restart,1500,UNKNOWN,,196,184,0,1500,1500,0.1215767,61998.1699710088,5355.10149054341,566.430684804654,0,0,NaN,0.785714285714286
Severe,2,3002,9920,2,150,add,4,Restart,2500,UNKNOWN,,196,184,0,2490,2490,0.2111763,38350.8912073037,4660.68332687573,336.90207880428,0,0,NaN,0.428571428571429
